,STT,Trường,NV1,NV2,NV3,Ghi chú,tinh
1,1,THPT chuyên Thoại Ngọc Hầu,39,,,Chuyên Toán,An Giang
2,2,THPT chuyên Thoại Ngọc Hầu,37.75,,,Chuyên Toán - Tin (Toán),An Giang
3,3,THPT chuyên Thoại Ngọc Hầu,28.25,,,Chuyên Toán - Tin (Tin),An Giang
4,4,THPT chuyên Thoại Ngọc Hầu,36.5,,,Chuyên Lý,An Giang
5,5,THPT chuyên Thoại Ngọc Hầu,40,,,Chuyên Hóa,An Giang
6,6,THPT chuyên Thoại Ngọc Hầu,34.75,,,Chuyên Sinh,An Giang
7,7,THPT chuyên Thoại Ngọc Hầu,37.4,,,Chuyên Anh,An Giang
8,8,THPT chuyên Thoại Ngọc Hầu,34,,,Chuyên Văn,An Giang
9,9,THPT chuyên Thoại Ngọc Hầu,33.5,,,Chuyên Sử,An Giang
10,10,THPT chuyên Thoại Ngọc Hầu,34,,,Chuyên Địa,An Giang
11,11,THPT Chuyên Thủ Khoa Nghĩa,31.75,,,Chuyên Toán,An Giang
12,12,THPT Chuyên Thủ Khoa Nghĩa,20.25,,,Chuyên Tin,An Giang
13,13,THPT Chuyên Thủ Khoa Nghĩa,28.25,,,Chuyên Lý,An Giang
14,14,THPT Chuyên Thủ Khoa Nghĩa,35.5,,,Chuyên Hóa,An Giang
15,15,THPT Chuyên Thủ Khoa Nghĩa,23,,,Chuyên Sinh,An Giang
16,16,THPT Chuyên Thủ Khoa Nghĩa,28.75,,,Chuyên Anh,An Giang
17,17,THPT Chuyên Thủ Khoa Nghĩa,26.75,,,Chuyên Văn,An Giang
18,18,THPT Chuyên Thủ Khoa Nghĩa,25,,,Chuyên Sử,An Giang
19,19,THPT Chuyên Thủ Khoa Nghĩa,25.5,,,Chuyên Địa,An Giang
20,20,Trường Phổ thông Dân tộc Nội trú - THPT An Giang,19.75,,,Thí sinh là dân tộc thiểu số,An Giang
21,21,Trường Phổ thông Dân tộc Nội trú - THPT An Giang,29,,,Thí sinh là dân tộc Kinh,An Giang
1,1,THPT Việt Yên số 1,19.43,,,,Bắc Giang
2,2,THPT Việt Yên số 2,17.35,,,,Bắc Giang
3,3,THPT Lý Thường Kiệt,18.18,,,,Bắc Giang
4,4,THPT Tân Yên số 1,16.48,21.18,,,Bắc Giang
5,5,THPT Tân Yên số 2,17.13,19.68,,,Bắc Giang
6,6,THPT Nhã Nam,15.55,,,,Bắc Giang
7,7,THPT Lục Nam,19.23,,,,Bắc Giang
8,8,THPT Phương Sơn,15.9,18.7,,,Bắc Giang
9,9,THPT Cẩm Lý,15.38,17.75,,,Bắc Giang
10,10,THPT Tứ Sơn,12.03,14.33,,,Bắc Giang
11,11,THPT Yên Thế,15.7,,,,Bắc Giang
12,12,THPT Bố Hạ,15.13,,,,Bắc Giang
13,13,THPT Mỏ Trạng,11.48,15.05,,,Bắc Giang
14,14,THPT Hiệp Hòa số 1,15.5,,,,Bắc Giang
15,15,THPT Hiệp Hòa số 2,18.18,,,,Bắc Giang
16,16,THPT Hiệp Hòa số 3,17.3,,,,Bắc Giang
17,17,THPT Hiệp Hòa số 4,15.38,17.78,,,Bắc Giang
18,18,THPT Yên Dũng số 1,15.4,,,,Bắc Giang
19,19,THPT Yên Dũng số 2,16.48,,,,Bắc Giang
20,20,THPT Yên Dũng số 3,14.15,16.25,,,Bắc Giang
21,21,THPT Sơn Động số 1,11.88,,,,Bắc Giang
22,22,THPT Sơn Động số 3,7.1,9.15,,,Bắc Giang
23,23,THPT Lục Ngạn số 1,18.15,,,,Bắc Giang
24,24,THPT Lục Ngạn số 2,14.38,16.7,,,Bắc Giang
25,25,THPT Lục Ngạn số 3,12.18,17.45,,,Bắc Giang
26,26,THPT Lạng Giang số 1,17.63,19.68,,,Bắc Giang
27,27,THPT Lạng Giang số 2,13.68,17,,,Bắc Giang
28,28,THPT Lạng Giang số 3,14.95,16.98,,,Bắc Giang
29,29,THPT Ngô Sĩ Liên,21.78,,,,Bắc Giang
30,30,THPT Thái Thuận,20.23,,,,Bắc Giang
31,31,THPT Giáp Hải,16.95,20.13,,,Bắc Giang
32,32,THPT Chuyên Bắc Giang,36.88,,,Chuyên Toán,Bắc Giang
33,33,THPT Chuyên Bắc Giang,37.5,,,Chuyên Lý,Bắc Giang
34,34,THPT Chuyên Bắc Giang,35.58,,,Chuyên Hóa,Bắc Giang
35,35,THPT Chuyên Bắc Giang,36.5,,,Chuyên Sinh,Bắc Giang
36,36,THPT Chuyên Bắc Giang,32.58,35.8,,Chuyên Tin,Bắc Giang
37,37,THPT Chuyên Bắc Giang,37,,,Chuyên Văn,Bắc Giang
38,38,THPT Chuyên Bắc Giang,35.25,,,Chuyên Sử,Bắc Giang
39,39,THPT Chuyên Bắc Giang,35.58,,,Chuyên Địa,Bắc Giang
40,40,THPT Chuyên Bắc Giang,39.98,,,Chuyên Tiếng Anh,Bắc Giang
41,41,THPT Chuyên Bắc Giang,33.28,38.48,,Chuyên Tiếng Pháp,Bắc Giang
42,42,THPT Chuyên Bắc Giang,34.6,37.6,,Chuyên Tiếng Trung,Bắc Giang
43,43,THPT Chuyên Bắc Giang,35.73,39.25,,Chuyên Tiếng Nhật,Bắc Giang
44,44,THPT Chuyên Bắc Giang,33.33,38.98,,Chuyên Tiếng Hàn,Bắc Giang
1,1,THPT Hưng Yên,17.25,,,,Hưng Yên
2,2,THPT Tiên Lữ,14.85,,,,Hưng Yên
3,3,THPT Trần Hưng Đạo,16.15,,,,Hưng Yên
4,4,THCS-THPT Hoàng Hoa Thám,14.5,17.2,,,Hưng Yên
5,5,THPT Phù Cừ,15.2,,,,Hưng Yên
6,6,THPT Nam Phù Cừ,12.4,16.85,,,Hưng Yên
7,7,THPT Ân Thi,14.95,,,,Hưng Yên
8,8,THPT Nguyễn Trung Ngạn,13.8,16.85,,,Hưng Yên
9,9,THPT Phạm Ngũ Lão,15.15,,,,Hưng Yên
10,10,THPT Kim Động,16.55,,,,Hưng Yên
11,11,THPT Đức Hợp,15.55,,,,Hưng Yên
12,12,THPT Nghĩa Dân,15,,,,Hưng Yên
13,13,THPT Khoái Châu,16.65,,,Cơ sở 1: TT Khoái Châu,Hưng Yên
14,14,THPT Khoái Châu,16.35,,,Cơ sở 2: Xã Đại Hưng,Hưng Yên
15,15,THPT Trần Quang Khải,14,17.45,,,Hưng Yên
16,16,THPT Nguyễn Siêu,15,16.6,,,Hưng Yên
17,17,THPT Yên Mỹ,17.05,,,,Hưng Yên
18,18,THPT Triệu Quang Phục,16.65,,,,Hưng Yên
19,19,THPT Minh Châu,16.15,,,,Hưng Yên
20,20,THPT Mỹ Hào,18.55,,,,Hưng Yên
21,21,THPT Nguyễn Thiện Thuật,16.75,,,,Hưng Yên
22,22,THPT Văn Lâm,18,,,,Hưng Yên
23,23,THPT Trưng Vương,18.15,,,,Hưng Yên
24,24,THPT Văn Giang,17.9,,,,Hưng Yên
25,25,THPT Dương Quảng Hàm,16.3,,,,Hưng Yên
26,26,THPT Chuyên Hưng Yên,37.05,,,Chuyên Toán,Hưng Yên
27,27,THPT Chuyên Hưng Yên,34.5,,,Chuyên Tin,Hưng Yên
28,28,THPT Chuyên Hưng Yên,37.1,,,Chuyên Lý,Hưng Yên
29,29,THPT Chuyên Hưng Yên,35.1,,,Chuyên Hóa,Hưng Yên
30,30,THPT Chuyên Hưng Yên,29.25,,,Chuyên Sinh,Hưng Yên
31,31,THPT Chuyên Hưng Yên,37.45,,,Chuyên Văn,Hưng Yên
32,32,THPT Chuyên Hưng Yên,32.2,,,Chuyên Sử,Hưng Yên
33,33,THPT Chuyên Hưng Yên,32.7,,,Chuyên Địa,Hưng Yên
34,34,THPT Chuyên Hưng Yên,36.05,,,Chuyên Anh,Hưng Yên
